Source	Target
392	784
392	761
392	800
4	792
4	752
4	513
4	651
4	963
272	6
272	395
357	6
357	938
357	749
357	496
357	571
357	510
7	987
7	713
782	8
182	9
182	811
182	274
182	869
260	6
260	860
260	79
260	637
260	432
260	941
260	338
778	9
778	928
778	952
501	560
393	494
393	923
393	843
473	762
792	891
9	963
146	225
146	3
146	719
146	641
146	749
146	283
146	320
146	480
10	227
10	944
10	956
227	568
227	239
227	313
227	954
227	795
168	7
168	891
168	312
168	736
168	591
944	989
747	840
747	986
747	892
747	877
415	6
415	72
415	751
415	930
2	392
2	393
2	473
2	48
2	558
752	853
752	995
851	975
768	8
11	291
11	837
11	275
11	860
291	671
291	770
291	385
291	732
291	565
837	999
837	897
837	848
275	458
16	9
16	322
16	623
16	880
16	879
865	984
12	72
12	89
12	453
12	309
12	144
12	943
12	866
12	687
48	55
713	997
713	78
713	811
72	866
72	741
72	934
5	851
5	723
808	867
808	870
165	2
165	65
165	864
165	677
165	261
558	620
558	949
558	736
558	929
558	758
158	3
158	723
158	344
158	986
158	360
158	617
158	353
513	544
513	565
235	5
235	452
235	344
235	789
235	573
13	3
13	984
13	207
13	634
32	8
32	713
32	827
341	8
341	872
341	666
341	649
341	876
225	9
225	938
225	31
225	405
1	501
1	747
1	808
3	865
3	919
723	752
626	7
626	829
626	993
626	922
648	7
648	660
453	527
453	656
322	687
322	388
322	809
322	421
322	604
167	556
167	172
167	766
228	501
228	244
228	384
228	676
228	435
228	843
734	800
734	926
452	633
241	737
241	379
241	270
241	442
241	376
309	43
309	681
512	776
512	597
17	415
17	83
17	485
17	785
17	606
17	529
17	660
17	620
343	43
343	475
343	757
343	567
485	865
485	947
140	18
140	64
140	784
140	897
140	990
785	915
785	862
715	808
715	912
356	984
356	41
356	85
356	615
623	658
623	950
623	68
623	664
623	811
623	797
312	781
312	399
312	849
312	368
312	850
312	351
312	329
144	197
144	770
144	206
144	647
35	632
35	726
35	927
73	838
866	885
15	747
15	235
15	322
15	167
15	356
136	32
136	19
136	37
136	590
136	828
136	99
21	867
21	891
21	794
21	241
21	928
21	715
21	961
21	356
21	69
21	733
21	380
14	343
14	999
14	35
14	997
606	62
606	848
564	787
535	636
66	837
66	885
69	962
733	986
733	886
22	228
22	734
22	312
22	609
22	625
22	57
22	556
22	788
22	936
687	690
207	553
207	619
207	934
207	287
634	843
18	452
18	564
18	535
18	334
334	660
334	979
334	79
334	75
334	403
879	969
20	512
20	785
20	356
20	66
20	349
