X Y Angle G H F
169 290 -6.58 0.00 1186.46 1186.46
195 287 -6.58 26.17 1163.05 1189.22
221 284 -6.58 52.35 1139.76 1192.11
247 281 -6.58 78.52 1116.60 1195.12
273 278 -6.58 104.69 1093.58 1198.27
299 275 10.89 130.86 1070.70 1201.56
325 280 54.46 158.21 1044.81 1203.02
340 301 55.18 186.20 1022.86 1209.06
356 324 55.71 214.25 999.43 1213.68
371 346 55.71 240.91 977.53 1218.43
386 368 55.71 267.53 955.87 1223.40
401 390 55.71 294.16 934.47 1228.62
416 412 19.80 320.79 913.34 1234.12
441 421 17.74 349.15 886.78 1235.94
466 429 13.50 375.50 860.54 1236.04
491 435 13.50 401.43 834.90 1236.32
516 441 13.50 427.14 809.26 1236.40
541 447 13.50 452.85 783.63 1236.48
566 453 52.70 478.56 758.00 1236.56
582 474 62.45 506.92 736.39 1243.31
594 497 62.45 533.35 718.41 1251.76
606 520 62.45 559.29 700.93 1260.22
618 543 20.56 585.24 683.98 1269.22
642 552 -22.17 612.96 658.62 1271.58
669 541 -2.12 644.25 634.74 1278.99
696 540 39.56 672.27 608.77 1281.04
719 559 42.27 704.19 581.94 1286.13
741 579 7.85 734.06 556.19 1290.25
770 583 2.12 765.05 526.98 1292.03
797 584 2.12 792.36 500.36 1292.72
824 585 0.00 819.38 473.78 1293.16
851 585 0.00 846.48 447.49 1293.98
880 585 0.00 875.48 419.36 1294.84
910 585 8.43 905.48 390.39 1295.87
937 589 12.53 933.20 363.32 1296.52
964 595 17.74 961.06 335.72 1296.79
989 603 18.43 987.57 309.48 1297.05
1016 612 17.82 1016.07 281.04 1297.11
1044 621 15.64 1045.51 251.64 1297.15
1069 628 15.64 1071.58 225.68 1297.26
1094 635 15.64 1097.54 199.72 1297.26
1119 642 15.64 1123.50 173.76 1297.27
1144 649 15.95 1149.47 147.80 1297.27
1172 657 15.95 1178.60 118.68 1297.28
1200 665 15.95 1207.72 89.56 1297.28
1228 673 15.95 1236.84 60.44 1297.28
1256 681 15.64 1265.96 31.32 1297.28
1281 688 21.80 1291.94 5.39 1297.32
1286 690 21.80 0.00 0.00 0.00
